book,source_reference,analysis_profile,mapping_status,mapping_confidence,reference_gap,disputed_passage,risk_type,endpoint_count,sample_ordinal
DAN,Dan.4.35,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,101,1
DAN,Dan.4.35-Dan.4.37,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,1,2
DAN,Dan.4.36,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,11,3
DEU,Deut.12.32-Deut.13.11,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
DEU,Deut.22.22-Deut.22.30,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
DEU,Deut.29.18-Deut.29.29,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,3
DEU,Deut.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,28,1
DEU,Deut.1.1-Deut.1.46,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
DEU,Deut.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,20,3
DEU,Deut.12.32,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,46,1
DEU,Deut.22.30,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,10,2
DEU,Deut.29.29,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,41,3
DEU,Deut.12.32-Deut.13.11,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
DEU,Deut.22.22-Deut.22.30,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
DEU,Deut.29.18-Deut.29.29,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,3
DEU,Deut.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,28,1
DEU,Deut.1.1-Deut.1.46,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
DEU,Deut.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,20,3
DEU,Deut.12.32,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,46,1
DEU,Deut.22.30,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,10,2
DEU,Deut.29.29,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,41,3
ECC,Eccl.5.18-Eccl.5.20,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,4,1
ECC,Eccl.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,14,1
ECC,Eccl.1.1-Eccl.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,2
ECC,Eccl.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,8,3
ECC,Eccl.5.20,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,10,1
ECC,Eccl.5.18-Eccl.5.20,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,4,1
ECC,Eccl.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,14,1
ECC,Eccl.1.1-Eccl.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,2
ECC,Eccl.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,8,3
ECC,Eccl.5.20,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,10,1
EPH,Eph.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,36,1
EPH,Eph.1.1-Eph.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
EPH,Eph.1.1-Eph.1.23,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,3
EPH,Eph.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,36,1
EPH,Eph.1.1-Eph.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
EPH,Eph.1.1-Eph.1.23,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,3
EST,Esth.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19,1
EST,Esth.1.1-Esth.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
EST,Esth.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19,3
EST,Esth.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19,1
EST,Esth.1.1-Esth.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
EST,Esth.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19,3
EXO,Exod.22.23-Exod.22.31,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
EXO,Exod.8.22-Exod.8.32,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
EXO,Exod.8.28-Exod.8.30,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,3
EXO,Exod.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,11,1
EXO,Exod.1.1-Exod.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
EXO,Exod.1.1-Exod.1.4,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
EXO,Exod.22.31,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,20,1
